"Make Id","Make Name","Model Id","Model Name","Trim Id","Trim Year","Trim Name","Trim Description","Trim Msrp","Trim Invoice","Trim Created","Trim Modified","Engine Id","Engine Type","Engine Fuel Type","Engine Cylinders","Engine Size","Engine Horsepower Hp","Engine Horsepower Rpm","Engine Torque Ft Lbs","Engine Torque Rpm","Engine Valves","Engine Valve Timing","Engine Cam Type","Engine Drive Type","Engine Transmission","Body Id","Body Type","Body Doors","Body Seats","Body Length","Body Width","Body Height","Body Wheel Base","Body Front Track","Body Rear Track","Body Ground Clearance","Body Cargo Capacity","Body Max Cargo Capacity","Body Curb Weight","Body Gross Weight","Body Max Payload","Body Max Towing Capacity","Mileage Id","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric"
1,Acura,99,RDX,6310,2020,Base,"4dr SUV (2.0L 4cyl Turbo 10A)",37800,35890,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6310,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","front wheel drive","10-speed shiftable automatic",6310,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,3783,,,1500,6310,17.1,24,22,28,3762,4788,,,,,,,
1,Acura,99,RDX,6314,2020,SH-AWD,"SH-AWD 4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A)",43000,40816,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6314,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","all wheel drive","10-speed shiftable automatic",6314,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,4026,,,1500,6314,17.1,23,21,27,3591,4617,,,,,,,
1,Acura,99,RDX,6315,2020,SH-AWD,"SH-AWD 4dr SUV AWD w/Advance Package (2.0L 4cyl Turbo 10A)",47900,45458,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6315,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","all wheel drive","10-speed shiftable automatic",6315,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,4068,,,1500,6315,17.1,23,21,27,3591,4617,,,,,,,
1,Acura,99,RDX,6313,2020,SH-AWD,"SH-AWD 4dr SUV AWD (2.0L 4cyl Turbo 10A)",39800,37785,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6313,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","all wheel drive","10-speed shiftable automatic",6313,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,4019,,,1500,6313,17.1,23,21,27,3591,4617,,,,,,,
1,Acura,99,RDX,6317,2020,"SH-AWD A-Spec","SH-AWD A-Spec 4dr SUV AWD (2.0L 4cyl Turbo 10A)",46000,43658,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6317,gas,"premium unleaded (recommended)",I4,2.0,272,6500,280,1600,16,Variable,"Double overhead cam (DOHC)","all wheel drive","10-speed shiftable automatic",6317,SUV,5,5,186.7,74.8,65.7,108.3,,,,31.1,79.8,4015,,,1500,6317,17.1,23,21,26,3591,4446,,,,,,,
1,Acura,421,RLX,6318,2020,P-AWS,"P-AWS 4dr Sedan (3.5L 6cyl 10A)",54900,50947,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6318,gas,"premium unleaded (recommended)",V6,3.5,310,6500,272,4500,24,Variable,"Single overhead cam (SOHC)","front wheel drive","10-speed shiftable automatic",6318,Sedan,4,5,198.1,74.4,57.7,112.2,,,4.5,14.9,14.9,3977,,,,6318,18.5,23,20,29,3700,5365,,,,,,,
1,Acura,421,RLX,6319,2020,"Sport Hybrid SH-AWD","Sport Hybrid SH-AWD 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM)",61900,57432,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6319,hybrid,"premium unleaded (recommended)",V6,3.5,377,6500,341,4700,24,Variable,"Single overhead cam (SOHC)","all wheel drive","7-speed automated manual",6319,Sedan,4,5,198.1,74.4,57.7,112.2,,,4.5,12.0,12.0,4380,,,,6319,15.1,28,28,29,4228,4379,,,,,,,
1,Acura,100,TLX,6328,2020,A-Spec,"A-Spec 4dr Sedan w/Red Leather (2.4L 4cyl 8AM)",39400,37406,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6328,gas,"premium unleaded (recommended)",I4,2.4,206,6800,182,4500,16,Variable,"Double overhead cam (DOHC)","front wheel drive","8-speed automated manual",6328,Sedan,4,5,191.0,73.0,57.0,109.3,,,5.8,14.3,,3548,,,,6328,17.2,26,23,32,3956,5504,,,,,,,
1,Acura,100,TLX,6329,2020,A-Spec,"A-Spec 4dr Sedan (3.5L 6cyl 9A)",42800,40626,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6329,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4500,24,Variable,"Single overhead cam (SOHC)","front wheel drive","9-speed shiftable automatic",6329,Sedan,4,5,191.0,73.0,57.0,109.3,,,5.9,14.3,,3680,,,,6329,17.2,23,20,30,3440,5160,,,,,,,
1,Acura,100,TLX,6330,2020,A-Spec,"A-Spec 4dr Sedan w/Red Leather (3.5L 6cyl 9A)",42800,40626,"6/29/23, 8:59 PM","6/29/23, 8:59 PM",6330,gas,"premium unleaded (recommended)",V6,3.5,290,6200,267,4500,24,Variable,"Single overhead cam (SOHC)","front wheel drive","9-speed shiftable automatic",6330,Sedan,4,5,191.0,73.0,57.0,109.3,,,5.9,14.3,,3680,,,,6330,17.2,23,20,30,3440,5160,,,,,,,
